Experiment	Sample Name	Bases
SRX3789189	GSM3040101	453905950
SRX3789190	GSM3040102	293651000
SRX3789191	GSM3040103	363992950
SRX3789192	GSM3040104	268282900
SRX3789193	GSM3040105	238388550
SRX3789194	GSM3040106	290246000
SRX3789195	GSM3040107	246842850
SRX3789196	GSM3040108	281907450
SRX3789197	GSM3040109	308477850
SRX3789198	GSM3040110	266931750
SRX3789199	GSM3040111	284634900
SRX3789200	GSM3040112	295246050
SRX3789201	GSM3040113	279895250
SRX3789202	GSM3040114	302499350
SRX3789203	GSM3040115	290047850
SRX3789204	GSM3040116	322626150
SRX3789205	GSM3040117	266908400
SRX3789206	GSM3040118	317380000
SRX3789207	GSM3040119	251336750
SRX3789208	GSM3040120	236324400
SRX3789209	GSM3040121	222574100
SRX3789210	GSM3040122	247927800
SRX3789211	GSM3040123	254518950
SRX3318190	GSM2829912	117478044
SRX3318191	GSM2829913	195997932
SRX3318192	GSM2829914	124272144
SRX3318193	GSM2829915	148319352
SRX3318194	GSM2829916	3449010924
SRX3318195	GSM2829917	2663461440
SRX3318196	GSM2829918	2510180856
SRX3318197	GSM2829919	1760943420
SRX3318198	GSM2829920	145182528
SRX3318199	GSM2829921	124147476
SRX3302830	GSM2825283	530417700
SRX3302831	GSM2825284	675730050
SRX3302832	GSM2825285	454699600
SRX3302833	GSM2825286	436193050
SRX3302834	GSM2825287	447158900
SRX3302835	GSM2825288	455424250
SRX3268756	GSM2808011	973455186
SRX3268757	GSM2808012	973251517
SRX2784055	GSM2599100	2472334600
SRX2784052	GSM2599097	2723385300
SRX2784053	GSM2599098	2895085100
SRX2784054	GSM2599099	2754106900
SRX2784056	GSM2599101	3243576100
SRX2784057	GSM2599102	3494827400
SRX2536535	GSM2476093	1163982792
SRX2536537	GSM2476095	2269829664
SRX2536539	GSM2476097	1248541098
SRX2536540	GSM2476098	582466104
SRX2536541	GSM2476099	1020126072
SRX2536549	GSM2476107	200490996
SRX2536550	GSM2476108	6809592576
SRX2536552	GSM2476110	2023578867
SRX2536554	GSM2476112	3893898048
SRX2536556	GSM2476114	1338429924
SRX2536558	GSM2476116	3002069376
SRX2536559	GSM2476117	5247493344
SRX2536533	GSM2476091	1106002167
SRX2536534	GSM2476092	1076529573
SRX2536536	GSM2476094	977979213
SRX2536538	GSM2476096	2555476584
SRX2536542	GSM2476100	2097839202
SRX2536543	GSM2476101	1554522942
SRX2536544	GSM2476102	1869338853
SRX2536545	GSM2476103	2877648174
SRX2536546	GSM2476104	228876066
SRX2536547	GSM2476105	282656076
SRX2536548	GSM2476106	196886469
SRX2536551	GSM2476109	3939086208
SRX2536553	GSM2476111	908443824
SRX2536555	GSM2476113	5468280864
SRX2536557	GSM2476115	4481977056
SRX2536560	GSM2476118	3175659456
SRX2536561	GSM2476119	3798154944
SRX2536562	GSM2476120	4229667456
SRX2469198	GSM2449065	670440325
SRX2469198	GSM2449065	715570138
SRX2469199	GSM2449066	682188193
SRX2469199	GSM2449066	733483581
SRX2469200	GSM2449067	792324425
SRX2469200	GSM2449067	818711683
SRX2469201	GSM2449068	755721436
SRX2469201	GSM2449068	794482239
SRX2469202	GSM2449069	716142318
SRX2469202	GSM2449069	763479477
SRX2469203	GSM2449070	668423360
SRX2469203	GSM2449070	701472306
SRX2319997	GSM2371466	244637271
SRX2319998	GSM2371467	260724813
SRX2319999	GSM2371468	257790495
SRX2839576	msh1 -/- S2 Variegated and Dwarfed, Rep 3 (small RNA-seq)	887275193
SRX2839572	msh1 -/- S2 Variegated and Dwarfed, Rep 1 (small RNA-seq)	957501895
SRX2839571	msh1 -/- S2 Variegated and Dwarfed, Rep 2 (small RNA-seq)	888198059
SRX2839570	MSH1 +/+ WT segregant, Rep 1 (small RNA-seq)	705292133
SRX2839569	MSH1 +/+ WT segregant, Rep 2 (small RNA-seq)	905690373
SRX2839568	msh1 -/- S1, Rep 1 (small RNA-seq)	1007330436
SRX2839567	msh1 -/- S1, Rep 2 (small RNA-seq)	948353301
SRX2839566	msh1 -/- S1, Rep 3 (small RNA-seq)	1159872336
SRX2839565	msh1 -/- S2 Variegated, Rep 1 (small RNA-seq)	798006650
SRX2839564	msh1 -/- S2 Variegated, Rep 2 (small RNA-seq)	819968646
SRX2839563	msh1 -/- S2 Variegated, Rep 3 (small RNA-seq)	880440428
SRX1993701	GSM2257315	1045356700
SRX1993702	GSM2257316	1210940000
SRX1993703	GSM2257317	1174687200
SRX1993704	GSM2257318	1134111900
SRX1993705	GSM2257319	1130214250
SRX1993706	GSM2257320	1132523100
SRX1993707	GSM2257321	1044447050
SRX1993708	GSM2257322	1144065900
SRX1993709	GSM2257323	1322183400
SRX1993710	GSM2257324	1145076950
SRX1993711	GSM2257325	1161457000
SRX1993712	GSM2257326	1004738300
SRX1881703	GSM2218931	705326124
SRX1881703	GSM2218931	692709081
SRX1881704	GSM2218932	780281385
SRX1881704	GSM2218932	767527050
SRX1881705	GSM2218933	744621981
SRX1881705	GSM2218933	734209566
SRX1881706	GSM2218934	761743140
SRX1881706	GSM2218934	748833867
SRX1881707	GSM2218935	723040923
SRX1881707	GSM2218935	709648680
SRX1881708	GSM2218936	756213720
SRX1881708	GSM2218936	744216174
SRX1881709	GSM2218937	886286466
SRX1881709	GSM2218937	870156033
SRX1881710	GSM2218938	830932290
SRX1881710	GSM2218938	816836196
SRX5951675	GSM3841992	2079118050
SRX5951676	GSM3841993	1788703300
SRX5951677	GSM3841994	862425500
SRX5951678	GSM3841995	3422743000
SRX5951679	GSM3841996	3891020350
SRX5951680	GSM3841997	6395743200
SRX5951681	GSM3841998	933304500
SRX5951682	GSM3841999	780344300
SRX5951683	GSM3842000	745464450
SRX5951684	GSM3842001	1407934400
SRX5951685	GSM3842002	1346273600
SRX5951686	GSM3842003	1319661100
SRX5951687	GSM3842004	1523066300
SRX5951688	GSM3842005	1237837700
SRX5951689	GSM3842006	1293165700
SRX5951690	GSM3842007	2015135850
SRX5951691	GSM3842008	2191700100
SRX5951692	GSM3842009	1909155650
SRX5951693	GSM3842010	1914312450
SRX5951694	GSM3842011	1401302550
SRX5951695	GSM3842012	1578949550
SRX5951696	GSM3842013	2368198000
SRX5951697	GSM3842014	2128802800
SRX5951698	GSM3842015	2009361950
SRX5951699	GSM3842016	4242646500
SRX5951700	GSM3842017	3517253550
SRX5951701	GSM3842018	4837136650
SRX5951702	GSM3842019	1335190050
SRX5951703	GSM3842020	980575500
SRX5951704	GSM3842021	765839850
SRX5951705	GSM3842022	769690250
SRX5951706	GSM3842023	676124850
SRX5951707	GSM3842024	547384600
SRX5951708	GSM3842025	1653523150
SRX5951709	GSM3842026	1832808750
SRX5951710	GSM3842027	1949508400
SRX5951711	GSM3842028	2090980150
SRX5951712	GSM3842029	1926995150
SRX5951713	GSM3842030	1514079700
SRX5951714	GSM3842031	1251031750
SRX5951715	GSM3842032	1218423500
SRX5951716	GSM3842033	988218750
SRX5951717	GSM3842034	1015610450
SRX5951718	GSM3842035	1290989550
SRX5951719	GSM3842036	881010100
SRX5951720	GSM3842037	879928100
SRX5951721	GSM3842038	1257134900
SRX5951722	GSM3842039	1107289150
SRX5951723	GSM3842040	1098750000
SRX5951724	GSM3842041	744933600
SRX5951725	GSM3842042	1176160650
SRX5951726	GSM3842043	838906750
SRX5951727	GSM3842044	937711350
SRX5951728	GSM3842045	2229503050
SRX5951729	GSM3842046	1111701900
SRX5951730	GSM3842047	1102643950
SRX5951731	GSM3842048	906603750
SRX5951732	GSM3842049	1953584400
SRX5951733	GSM3842050	2082676700
SRX5951734	GSM3842051	2532037950
SRX5951735	GSM3842052	1064606300
SRX5951736	GSM3842053	994698600
SRX5951737	GSM3842054	699671800
SRX5951738	GSM3842055	987764150
SRX5951739	GSM3842056	610515450
SRX5951740	GSM3842057	712276050
SRX386468	GSM1278497	748685000
SRX386469	GSM1278498	846331250
SRX386470	GSM1278499	767736500
SRX386471	GSM1278500	847018300
SRX386472	GSM1278501	62960350
SRX386473	GSM1278502	156330432
SRX386474	GSM1278503	136461672
SRX386475	GSM1278504	165746736
SRX386476	GSM1278505	65574800
SRX3318200	GSM2829922	1764513900
SRX3318201	GSM2829923	2361971300
SRX3318202	GSM2829924	1463018500
SRX3318203	GSM2829925	2801954700
SRX738305	GSM1529874	375947467
SRX738307	GSM1529876	128412501
SRX738307	GSM1529876	130352963
SRX738309	GSM1529878	173307710
SRX738311	GSM1529880	117381631
SRX738311	GSM1529880	132742021
SRX2030874	GSM2283944	928038126
SRX2030875	GSM2283945	1096825431
SRX2030876	GSM2283946	877066737
SRX2030877	GSM2283947	1104076050
SRX2030878	GSM2283948	946790112
SRX2030879	GSM2283949	1204104237
SRX2030880	GSM2283950	864348867
SRX2030881	GSM2283951	694355616
SRX2030882	GSM2283952	1058677839
SRX2030883	GSM2283953	1193041827
SRX2030884	GSM2283954	1078623225
SRX6783836	hyl1-2_hen2-4-replicates_2	546580686
SRX6783835	hyl1-2_hen2-4-replicates_1	536139832
SRX6783834	hyl1-2_sop1-5-replicates_2	504765321
SRX6783833	hyl1-2_sop1-5-replicates_1	527532947
SRX6783832	shy43-replicates_2	522327277
SRX6783831	shy43-replicates_1	525705384
SRX6783830	hyl1-2-replicates_2	507704738
SRX6783829	hyl1-2-replicates_1	492554965
SRX6783828	Col-0-replicates_2	502530945
SRX6783827	Col-0-replicates_1	517567941
SRX1592743	GSM2066567	153380365
SRX1592744	GSM2066568	91677659
SRX1592745	GSM2066569	411198447
SRX1592746	GSM2066570	423905022
SRX1592747	GSM2066571	428971059
SRX1592748	GSM2066572	164904093
SRX1592749	GSM2066573	138420839
