name	bam	trim_fq	aliall	mis	unali	sum
SRR10049355	23924031	23924031	22900799	88070	935214	23924083
SRR10049356	23417260	23417260	22220825	100800	1095675	23417300
SRR10049357	22175348	22175348	21102231	90062	983081	22175374
SRR10049358	22947007	22947007	21628090	101155	1217795	22947040
SRR10049359	22904712	22904712	22169626	83538	651570	22904734
SRR10049360	23062440	23062440	22212655	95302	754497	23062454
SRR10049361	22387021	22387021	21576877	82630	727541	22387048
SRR10049362	21347298	21347298	20370780	93665	882901	21347346
SRR10049363	21929847	21929847	20573893	102190	1253786	21929869
SRR10049364	22824903	22824903	21972588	87402	764929	22824919
SRR1042175	899212	899212	849870	6816	42559	899245
SRR1042176	3982401	3982401	3847455	24913	110067	3982435
SRR1042177	2791201	2791201	2689130	21317	80789	2791236
SRR1042178	3705206	3705206	3586466	28484	90348	3705298
SRR1042179	847437	847437	797547	12291	37607	847445
SRR1618839	13628997	13628997	11033642	266562	2328939	13629143
SRR1618841	4495655	4495655	3451206	62580	981881	4495667
SRR1618842	4718288	4718288	3751841	94108	872345	4718294
SRR1618844	6604781	6604781	5548542	127187	929066	6604795
SRR1618846	4476786	4476786	3765630	82200	628961	4476791
SRR1618847	4700608	4700608	3614775	99237	986607	4700619
SRR3178439	6773628	6773628	6574768	23645	175268	6773681
SRR3178440	4043634	4043634	3918171	14139	111350	4043660
SRR3178441	17155906	17155906	16532636	60827	563004	17156467
SRR3178442	17709386	17709386	17252383	60585	397454	17710422
SRR3178443	17987582	17987582	17507828	69139	410771	17987738
SRR3178444	7473110	7473110	7149762	15202	308200	7473164
SRR3178445	6283062	6283062	5995771	12886	274432	6283089
SRR3724580	10920024	10920024	10450661	58754	410737	10920152
SRR3724581	10706285	10706285	10251275	55788	399342	10706405
SRR3724582	10600512	10600512	10165002	41843	393779	10600624
SRR3724583	10404383	10404383	9977629	39729	387117	10404475
SRR3724584	11129478	11129478	10716945	35500	377068	11129513
SRR3724585	10958466	10958466	10555066	34364	369066	10958496
SRR3724586	10884496	10884496	10392666	34846	457028	10884540
SRR3724587	10687044	10687044	10204480	33768	448833	10687081
SRR3724588	10867012	10867012	10405627	45192	416312	10867131
SRR3724589	10647846	10647846	10198243	43257	406440	10647940
SRR3724590	11004030	11004030	10480581	43370	480193	11004144
SRR3724591	10812862	10812862	10301632	41442	469896	10812970
SRR3724592	11709413	11709413	11227873	27580	453968	11709421
SRR3724593	11478369	11478369	11000431	26678	451270	11478379
SRR3724594	11822754	11822754	11298420	39738	484619	11822777
SRR3724595	11604101	11604101	11094088	37807	472243	11604138
SRR3992484	4407569	4407569	4109253	21040	277336	4407629
SRR3992485	12149522	12149522	11513373	103572	532845	12149790
SRR3992486	19729532	19729532	18511323	196943	1021742	19730008
SRR3992490	1568918	1568918	1283257	9033	276636	1568926
SRR3992491	4264616	4264616	3684179	29536	550946	4264661
SRR3992492	4733752	4733752	3746588	43057	944164	4733809
SRR3992494	3151068	3151068	1565118	21036	1564931	3151085
SRR3992495	7810931	7810931	3563577	68422	4178978	7810977
SRR4831941	10824690	10824690	10664841	13459	146455	10824755
SRR4831942	11452075	11452075	11270690	15548	165929	11452167
SRR4831943	11418719	11418719	11222699	16858	179263	11418820
SRR5151108	8855191	8855191	6782868	113994	1958371	8855233
SRR5151109	9451579	9451579	7256935	122855	2071830	9451620
SRR5151110	8990313	8990313	5623901	84313	3282120	8990334
SRR5151111	9664396	9664396	6061089	92279	3511060	9664428
SRR5151112	11016143	11016143	6520934	172554	4322688	11016176
SRR5151113	11377446	11377446	6787981	176804	4412702	11377487
SRR5151114	10200676	10200676	7850944	90999	2258741	10200684
SRR5151115	10722058	10722058	8301730	92999	2327341	10722070
SRR5151116	9284408	9284408	5705360	125925	3453153	9284438
SRR5151117	9899950	9899950	6107789	134937	3657255	9899981
SRR5151118	8830555	8830555	5824786	207843	2797946	8830575
SRR5151119	9264809	9264809	6145509	215858	2903462	9264829
SRR5227418	16878502	16878502	16377033	138830	363157	16879020
SRR5227419	16144303	16144303	15647889	140656	356174	16144719
SRR5227420	17606223	17606223	17130688	136332	339667	17606687
SRR5227421	14706672	14706672	14290144	117356	299618	14707118
SRR5227422	36571682	36571682	35623104	330157	619845	36573106
SRR5227423	40718741	40718741	39608874	385749	725731	40720354
SRR5227424	14676144	14676144	14203707	106773	366263	14676743
SRR5227425	7954656	7954656	7737107	37711	180118	7954936
SRR5227426	12467580	12467580	12085899	103474	278547	12467920
SRR5227427	23310787	23310787	22689561	104572	517183	23311316
SRR5227428	21108604	21108604	20683870	111056	314161	21109087
SRR5227429	30921766	30921766	30220984	214494	487263	30922741
SRR5227430	46692007	46692007	45937853	99512	574393	46611758
SRR5227431	3717580	3717580	3607970	32752	76966	3717688
SRR5227432	4603132	4603132	4506170	23681	73410	4603261
SRR5227433	2233699	2233699	2139073	19914	74770	2233757
SRR5227434	2384521	2384521	2287882	23353	73330	2384565
SRR5227435	58562586	58562586	56643077	538515	1382174	58563766
SRR5227436	34704052	34704052	33101782	586305	1017086	34705173
SRR5227437	26953859	26953859	25818749	321443	815165	26955357
SRR5227438	9679842	9679842	9283261	79765	317229	9680255
SRR5227439	29318299	29318299	27720854	420353	1178332	29319539
SRR5227440	47403768	47403768	45050825	346124	1635540	47032489
SRR5227441	12860246	12860246	12414210	68678	377876	12860764
SRR5227442	35177317	35177317	33540232	395239	1243499	35178970
SRR5227443	22430958	22430958	21340521	263514	828073	22432108
SRR5227444	47203793	47203793	45159228	564857	1482261	47206346
SRR5227445	22448863	22448863	19841743	356623	2251567	22449933
SRR5227446	33034019	33034019	29501926	430597	3103118	33035641
SRR5227447	36386789	36386789	34043025	398068	1947394	36388487
SRR5508380	22220723	22220723	10373527	87473	11760046	22221046
SRR5508382	26450476	26450476	18488800	265840	7696521	26451161
SRR5508383	23045920	23045920	17332219	199956	5514520	23046695
SRR5508384	29272264	29272264	15842614	313861	13122230	29278705
SRR5581460	14167191	14167191	10733810	135634	3298140	14167584
SRR5581464	5492708	5492708	3764853	27889	1700041	5492783
SRR5581465	13254093	13254093	9093259	115792	4045377	13254428
SRR5581466	9746537	9746537	8407281	144098	1195430	9746809
SRR5581467	9600288	9600288	8177691	123324	1299482	9600497
SRR5581468	9025101	9025101	7685273	125576	1214471	9025320
SRR5581469	9753113	9753113	8127743	106957	1518636	9753336
SRR5581470	11394625	11394625	9921364	151156	1322401	11394921
SRR5581471	9325742	9325742	4641201	81479	4603200	9325880
SRR5581472	10397825	10397825	6253117	104697	4040200	10398014
SRR5581473	11913960	11913960	6337038	119189	5457989	11914216
SRR6156924	43167929	43167929	41739656	92022	1336607	43168285
SRR6192867	10042364	10042364	9728419	46777	267654	10042850
SRR6192868	11863224	11863224	11362210	55394	446140	11863744
SRR6192869	8420080	8420080	8169801	38429	212219	8420449
SRR6192870	6882834	6882834	6668072	21122	193782	6882976
SRR6192871	7808328	7808328	7579600	27396	201609	7808605
SRR6192872	8621077	8621077	8340050	35358	245983	8621391
SRR6208912	2445962	2445962	2185462	8182	252340	2445984
SRR6208913	4022869	4022869	3643926	10140	368849	4022915
SRR6208914	3203063	3203063	2400013	7335	795745	3203093
SRR6208915	3465150	3465150	2515443	8565	941160	3465168
SRR6208920	3948854	3948854	3762505	3618	182740	3948863
SRR6208921	2574759	2574759	2393488	7143	174148	2574779
SRR6208922	31541401	31541401	29533900	289526	1718078	31541504
SRR6208923	42548403	42548403	39654391	421870	2472271	42548532
SRR6208924	25336973	25336973	22988877	115932	2232212	25337021
SRR6208925	50286429	50286429	39380825	251621	10654061	50286507
SRR6833109	8409016	8409016	7623357	68736	716954	8409047
SRR6833110	5462126	5462126	4958224	28495	475422	5462141
SRR6833111	6597413	6597413	6022010	35053	540381	6597444
SRR6833112	4895721	4895721	4415051	28413	452275	4895739
SRR6833113	4401635	4401635	3980850	26253	394557	4401660
SRR6833114	5333919	5333919	4777663	39579	516719	5333961
SRR6833115	4576627	4576627	4212514	17014	347124	4576652
SRR6833116	5337327	5337327	4948201	21713	367446	5337360
SRR6833117	5868425	5868425	5176923	25642	665886	5868451
SRR6833118	5130630	5130630	4750876	21916	357872	5130664
SRR6833119	5381053	5381053	4978148	17317	385618	5381083
SRR6833120	5286927	5286927	4827115	24233	435617	5286965
SRR6833121	5141059	5141059	4761626	21817	357657	5141100
SRR6833122	5240871	5240871	4823411	23715	393781	5240907
SRR6833123	4685234	4685234	4215692	28837	440733	4685262
SRR6833124	5638829	5638829	5285292	14168	339394	5638854
SRR6833125	4589725	4589725	4165974	24268	399508	4589750
SRR6833126	6083427	6083427	5732436	19564	331454	6083454
SRR6833127	4727485	4727485	4422906	17031	287564	4727501
SRR6833128	4428798	4428798	4151959	15935	260926	4428820
SRR6833129	3980983	3980983	3652881	23969	304154	3981004
SRR6833130	4666698	4666698	4353945	21167	291617	4666729
SRR6833131	4825219	4825219	4371887	32494	420870	4825251
SRR9179040	126095760	126095760	68234175	1133718	56731189	126099082
SRR9179044	27351302	27351302	17919483	265028	9168735	27353246
SRR9179045	25836093	25836093	14564475	210742	11062620	25837837
SRR9179046	24493754	24493754	16249647	174574	8071043	24495264
SRR9179047	29820914	29820914	18426237	256567	11140363	29823167
SRR9179048	23980837	23980837	15280987	193978	8507122	23982087
SRR9179049	25125465	25125465	15663088	152407	9311304	25126799
SRR9179050	39608297	39608297	33184199	19207	5990114	39193520
SRR9179051	42190635	42190635	34771437	480786	6941744	42193967
SRR9179052	36523368	36523368	25810006	275745	10440095	36525846
SRR9179053	37999038	37999038	34859772	642982	2499648	38002402
SRR9179054	27634891	27634891	24620301	293063	2723567	27636931
SRR9179055	30785347	30785347	26965846	465161	3356747	30787754
SRR9179056	46639053	46639053	43931470	558249	2151209	46640928
SRR9179057	41173964	41173964	37664719	266074	2993560	40924353
SRR9179058	38879898	38879898	34915628	57167	3645208	38618003
SRR9179059	83934656	83934656	42694072	864729	40377996	83936797
SRR9179062	25420560	25420560	16690111	374129	8358488	25422728
SRR9179068	28779035	28779035	24952025	56171	3800363	28808559
SRR9179069	29814396	29814396	25207828	53775	4593602	29855205
SRR9179070	27652147	27652147	23551789	48971	4084667	27685427
SRR9179071	38412376	38412376	35887033	0	2466136	38353169
SRR9179072	33116059	33116059	31107460	68706	1952097	33128263
SRR9179073	26621569	26621569	24979141	59471	1591146	26629758
SRR9179074	22599955	22599955	21395046	37995	1173156	22606197
SRR9179075	23513259	23513259	22113692	38910	1367070	23519672
SRR9179076	18935481	18935481	17890024	33392	1019897	18943313
SRR9179077	19397397	19397397	18110334	36000	1260016	19406350
SRR9179078	24963084	24963084	23339455	41828	1590536	24971819
SRR9179079	14784269	14784269	13529347	36590	1232062	14797999
SRR9179080	13714521	13714521	12568926	31729	1123895	13724550
SRR9179081	22384010	22384010	20462665	37083	1892986	22392734
SRR9179082	21052521	21052521	19217508	39706	1806161	21063375
SRR9179083	20911869	20911869	19560166	43256	1322851	20926273
SRR9179084	13413156	13413156	12168699	32754	1223366	13424819
SRR9179085	21192966	21192966	19505490	45938	1653107	21204535
SRR9179086	15993024	15993024	13063193	48976	2958158	16070327
SRR9179087	17362816	17362816	13464478	46382	3920847	17431707
SRR9179088	32839801	32839801	27763185	66499	5026233	32855917
SRR9179089	17055424	17055424	15525332	30911	1517570	17073813
SRR9179090	18407147	18407147	16483041	35288	1908348	18426677
SRR9179091	14297083	14297083	12534596	28312	1753210	14316118
SRR9179092	33415903	33415903	31854730	13558	1508875	33377163
SRR9179093	33220411	33220411	31703966	59005	1469040	33232011
SRR9179094	32474130	32474130	28421539	0	4008263	32429802
SRR9179095	16993508	16993508	15731661	32809	1254152	17018622
SRR9179096	16576172	16576172	15848209	30675	722206	16601090
SRR9179097	11107955	11107955	10475578	25321	642633	11143532
SRR9179098	15461328	15461328	14967114	23727	508183	15499024
SRR9179099	10518424	10518424	10195534	16794	336086	10548414
SRR9179100	11330427	11330427	10920706	19353	423042	11363101
